,Submission HTML Removed
779,"I thought that the problem sets were using same webpage so I used the autograder from problem set 10 for my submission on problem set 11, can I resubmit?"
782,"Hi! I'm working on exercise 5.

The recursive part of my function works fine (for both strings and integers) but I'm having trouble figuring out what the base case should return in order to make it work for both data types. I can change my code to work for one of the two (by changing what the base case returns) but don't know how to combine the two. Any hints or suggestions?"
784,"Just to clarify, do we only need to upload the autograder results for the exercises that the spec says to run the autograder? I tried running the autograder on exercises that did not specify to do so; I still got results from the autograder, but I wasn't sure if we needed to show these results as well."
789,"what does return """" mean?
thx"
794,
796,"I'm getting a message in my terminal that the test is running, but  it just stays like this and never returns anything. Has anyone else experience this or know what's happening?"
798,"This is for exercise 4. When I coded it a few days ago, it worked fine, but when I was testing everything before turning the problem set in, I was getting this error. The weird thing is, when I tossed the same exact code into Spyder to test it there, it worked fine, so I'm not sure what the problem is with running it in terminal.
"
847,Is this in Snap! or Python ?
849,"There are a few checkoff questions that ask us to both show the block and explain how it was made. However, in the google form, there isn't a space for the explanation. Where should we write out answers then?
"
851,"I found a way to check if a number is pandigital, but there are is a number that also applies to the condition I use which is not pandigital. So my algorithm is not 100% correct. Can someone give me a hint on what the algorithm should check? Without recursion etc..."
894,"Thanks for the feedback! This one return 'SECRET MESSAGE' without swapping the letters.

"
905,"Oh I didn't see that! I imported it as turtle at the beginning, but even after fixing that line (t.forward(size)), it's still giving me an error for turtle.right(90). It says invalid syntax :( "
912,"I'm working on the print_top_n_words function, and when I run it with the example dictionary, I get:
Vegetables 5
and 5
None 

When I rerun it a couple of times, it sometimes changes to:
and 5 
Vegetables 5
None

Why is it that ""and 5"" is sometimes before and sometimes after ""Vegetables 5""? Also, why do I always have ""None"" at the end? Any advice on how to fix this? 

"
920,"Hi! I believe there's an error on the checkoff-- it repeats the question ""Name the logarithmic time algorithm that we implemented in Lab 6. Explain why this algorithm runs in logarithmic time."" twice instead of that and ""What is the difference between “Worst-Case” and “Best Case” Runtimes when running the Are the numbers of (LIST) distinct? block? Why?""

Thank you!"
922,"I'm having some trouble understanding the second to last question on the checkoff. What does the question mean when it says ""counter up the numbers between 1 and x"" and ""multiply top number""?"
924,"There is this Check-Off question:

""Name the logarithmic time algorithm that we implemented in Lab 6. Explain why this algorithm runs in logarithmic time.""

What is Lab 6?"
957,"The indentation error was for a different, older piece of code that I deleted, but I did indeed redefine the helper function later on. I changed it, and it works now. Thank you so much!"
964,I tried that but it gives the same error. 
993,Thank you!
1014,"Since there was no real coding and this topic is mostly abstract, what should we submit as the XML file? There are no functions requested on the problem set page, but the question on the survey is still required and there were a lot to download to see."
1016,"I am struggling to understand why using ""broadcast"" instead of ""broadcast and wait"" does not produce the right output in the last part of the lab (second last and last page). Don't the blocks still go sequentially even if we don't ""broadcast and wait""? Any hints?"
1089,"Thank you! I changed the bounds to for 1 to length of word, but I'm still getting the same error that says ""Inside: error. Expecting list but getting text."" Does this have to do with my report block—should I be using join instead of just reporting a list?"
1118,"Do we still need to upload a screenshot to the checkoff?
"
1128,There doesn't seem to be a link for pset 17 checkoffs. Could you please check this? Thank you!
1131,"For the UCBMFET exercise, the instructions say to create a class attribute called ""posts"" (initialized to an empty dictionary) and to also create an instance attribute called ""posts"" (initialized to 0).

Is this on purpose? Does this cause confusion between the two attributes?"
1133,A UCBMFET class? That's such a dumb idea. I wonder who came up with that ...
1202,"Can I just check title in the key list to see whether it already exist?
Like:

for i in the range (0,len(Book.varieties[self.genre]):
     if Book.varieties[self.genre](i)==self.title:
             ..........
            "
1206,"Hello Yolanda:

I am confused about the test code for this project. I can do like a name to put into the class, but how about the title of the post and maybe the post and the like thing?
Thank you!
"
